tool,repo,bomFormat_exist,bomFormat_true_exist,specVersion_exist,specVersion_true_exist,version_exist,version_true_exist,serialNumber_exist,serialNumber_true_exist,timestamp_exist,timestamp_true_exist,tools_exist,tools_true_exist,name_com_exist,name_com_true_exist,version_com,version_com_true_exist,bom_ref_com_exist,bom_ref_com_true_exist,names_exist,names_true_exist,author_exist,author_true_exist,type_exist,type_true_exist,bom_ref_exist,bom_ref_true_exist,purl_exist,purl_true_exist,cpe_exist,cpe_true_exist,licenses_exist,licenses_true_exist,version_exist,version_true_exist,copyright_exist,copyright_true_exist
gh-sbom,bert4keras,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0
gh-sbom,case-212,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,2,2,0,0,2,2,0,0,2,2,0,0,0,0,2,2,0,0
gh-sbom,scanless,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,3,3,0,0,3,3,0,0,3,3,0,0,0,0,3,3,0,0
gh-sbom,awesome-pretrained-stylegan2,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,4,4,0,0,4,4,0,0,4,4,0,0,0,0,4,4,0,0
gh-sbom,sepconv-slomo,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,5,5,0,0,5,5,0,0,5,5,0,0,0,0,5,5,0,0
gh-sbom,coconut,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,7,7,0,0,7,7,0,0,7,7,0,0,0,0,7,7,0,0
gh-sbom,gcForest,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,9,9,0,0,9,9,0,0,9,9,0,0,0,0,9,9,0,0
gh-sbom,WebGLM,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,12,12,0,0,12,12,0,0,12,12,0,0,10,10,12,12,0,0
gh-sbom,DeepFaceLab,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,12,12,0,0,12,12,0,0,12,12,0,0,8,8,12,12,0,0
gh-sbom,composer,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,34,34,0,0,34,34,0,0,34,34,0,0,1,1,34,34,0,0
gh-sbom,pootle,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,95,95,0,0,95,95,0,0,95,95,0,0,82,82,95,95,0,0
gh-sbom,OpenNMT-tf,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,19,19,0,0,19,19,0,0,19,19,0,0,2,2,19,19,0,0
gh-sbom,curator,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,8,8,0,0,8,8,0,0,8,8,0,0,4,4,8,8,0,0
gh-sbom,DetectAndTrack,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,16,16,0,0,16,16,0,0,16,16,0,0,0,0,16,16,0,0
gh-sbom,mssql-cli,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,27,27,0,0,27,27,0,0,27,27,0,0,1,1,27,27,0,0
