repo_name,repo_name_meta,repo_version,comp_num1,comp_num2,matched_comps,author_score,type_score,purl_score,cpe_score,license_score,version_score
cobar,0,0.0,32,32,22,0.0,0.0,0.9983766233766235,0.0,0.8303030303030302,0.9957219251336898
flogger,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
cassandra,0,0.0,5,6,3,0.0,0.0,0.7163561076604554,0.0,0.0,0.0
FakeSMTP,0,0.0,14,15,9,0.0,0.0,0.9405684754521965,0.0,0.5074074074074074,1.0
pdfbox,0,0.0,46,34,19,0.0,0.0,0.9151730109905432,0.0,0.1518796992481203,0.4311323763955343
android-auto-scroll-view-pager,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Java-Chronicle,0,0.0,17,12,7,0.0,0.0,0.9945054945054945,0.0,0.48761904761904756,0.974025974025974
StickyGridHeaders,0,0.0,6,11,2,0.0,0.0,1.0,0.0,0.75,1.0
kilim,0,0.0,9,58,6,0.0,0.0,0.8906882591093118,0.0,0.4777777777777777,0.9227777777777777
RedisClient,0,0.0,7,13,6,0.0,0.0,1.0,0.0,0.6666666666666666,1.0
syncthing-android,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
GeometricWeather,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
springdoc-openapi,0,0.0,83,176,44,0.0,0.0,0.8906048795689057,0.0,0.03787878787878787,0.14888903743315504
mall-tiny,0,0.0,19,137,17,0.0,0.0,0.9475200953417506,0.0,0.29803921568627456,0.47058823529411764
Lightweight-Stream-API,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
joda-time-android,0,0.0,3,94,0,0.0,0.0,0.0,0.0,0.0,0.0
GSYVideoPlayer,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
openjdk,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
simple-java-mail,0,0.0,65,81,34,0.0,0.0,0.9247369333067526,0.0,0.32640268228503516,0.6218102240896357
Houseclub,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
androidquery,0,0.0,5,9,1,0.0,0.0,1.0,0.0,1.0,1.0
jnativehook,0,0.0,22,8,1,0.0,0.0,1.0,0.0,0.25,1.0
spring-analysis,0,0.0,20,32,18,0.0,0.0,1.0,0.0,0.4703703703703704,1.0
telescope,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
aws-cf-templates,0,0.0,20,33,11,0.0,0.0,0.9025278293135434,0.0,0.23116883116883116,0.45454545454545453
kafdrop,0,0.0,37,151,24,0.0,0.0,0.9145519457515846,0.0,0.10912698412698413,0.3386011904761905
find-sec-bugs,0,0.0,49,37,11,0.0,0.0,0.9873081463990555,0.0,0.4853535353535354,0.9626623376623378
