repo_name,pkgs_num,pkgs_bench,matched_pkgs,doc_name,originator_score_r,supplier_score_r,copyright_score_r,version_score_r,dL_score_r,licenseC_score_r,licenseD_score_r,originator_score,supplier_score,version_score,dL_score,licenseC_score,licenseD_score
pew,4,6,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
pinject,3,6,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
pipreqs,10,3,3,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0
pointer-generator,1,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
pretrained-models.pytorch,1,12,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
python-broadlink,4,2,1,0,0,0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0
python-elevator-challenge,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
python-recsys,1,8,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
python-scripts,6,12,5,0,0,0,0,0,0,0,0,0.0,0.4,1.0,0.2,0.2,0.2
python_koans,1,8,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
quandl-python,2,21,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
redis-rdb-tools,1,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
rockstar,1,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
samplemod,1,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
say_what,1,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
schedule,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
seamless_communication,1,19,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
skip-thoughts,1,9,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
sotawhat,1,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
speedtest-cli,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
sublime-jsdocs,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
tensorflow-vgg,1,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
tf-coreml,1,11,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
tinychain,6,5,5,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0
trfl,1,6,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
uiautomator2,4,29,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
weibo_terminater,2,15,1,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,1.0,1.0
whereami,1,10,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
word2vec-api,5,5,4,0,0,0,0,0,0,0,0,0.0,0.25,1.0,0.0,0.0,0.0
xmltodict,1,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
youtube-8m,3,6,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
zzzzz,9,7,7,0,0,0,0,0,0,0,0,0.0,0.5714285714285714,0.9971742543171115,0.0,0.0,0.0
